x                 y
0.00000000     1.00000000
0.05000000     1.00000000
0.10000000     0.99750000
0.15000000     0.99252497
0.20000000     0.98513668
0.25000000     0.97543173
0.30000000     0.96353839
0.35000000     0.94961230
0.40000000     0.93383144
0.45000000     0.91639062
0.50000000     0.89749575
0.55000000     0.87735829
0.60000000     0.85618995
0.65000000     0.83419812
0.70000000     0.81158180
0.75000000     0.78852853
0.80000000     0.76521188
0.85000000     0.74178991
0.90000000     0.71840419
0.95000000     0.69517949
1.00000000     0.67222395
